Feature,C50,RandomForest,LGBoost,SHAP
age_icu_exit,100,66.40719475511855,64.67960300378384,11.431932280082579
gender_num,92.46,10.15583736184586,2.445050554448364,20.90996893376459
log_lactate,5.87,100,100,100
log_ck,0,64.99243991404708,63.31381388544496,79.81039074807077
log_bilirubin,0,50.42009798504608,42.23636268550397,44.416232057233934
mabp_value_num,0,26.27249543902658,30.0143453028666,3.632537399526466
