Model,AUC,CI_lower,CI_upper,AUC_CI
LightGBoost,0.839641672441274,0.8249917955688405,0.8542915493137074,0.840 (0.825-0.854)
Random Forest,0.7157372903530034,0.6967108815368569,0.7347636991691499,0.716 (0.697-0.735)
Logistic Regression,0.6939665417817994,0.6743139903693552,0.7136190931942435,0.694 (0.674-0.714)
C5.0 Decision Tree,0.5999409600320502,0.585007421517927,0.6148744985461735,0.600 (0.585-0.615)
